location_name,sort_order,title,body,image_url
SSD (Bhaskaracharya Block),1,History,Placeholder — history content for SSD to be added.,
SSD (Bhaskaracharya Block),2,Awards,Placeholder — awards content for SSD to be added.,
SSD (Bhaskaracharya Block),3,Placements,Placeholder — placements content for SSD to be added.,
SSD (Bhaskaracharya Block),4,Alumni,Placeholder — alumni content for SSD to be added.,
Somaiya Statue,1,History,Placeholder — history of the Somaiya Statue to be added.,
Somaiya Statue,2,Then vs Now,Placeholder — Google Earth then-vs-now comparison to be added.,
Secret Courtyard,1,,Placeholder fact about Secret Courtyard.,
Old Well,1,,Placeholder fact about Old Well.,
Rooftop Viewpoint,1,,Placeholder fact about Rooftop Viewpoint.,
Forgotten Mural,1,,Placeholder fact about Forgotten Mural.,
Quiet Reading Nook,1,,Placeholder fact about Quiet Reading Nook.,
Engineering Canteen,1,Sustainability,Sits near the Engineering building's vermicomposting pits; food waste from campus canteens is composted right on site as part of the Green Campus Initiative.,
Engineering Canteen,2,Good to know,"It gets packed at lunchtime, so come early or be ready to hunt for a seat.",
Govindas Canteen,1,Philosophy,"The design runs on a ""Three Foods"" philosophy: food for thought, food for health, and food for the soul — eating should feel like an extension of learning, not a break from it.",
Govindas Canteen,2,Architecture,"Architects deliberately focused on daylighting: massive, open, sunlit spaces meant to filter in natural light, intended to lower stress and encourage a sense of peace while students study or eat.",
Govindas Canteen,3,Not just a canteen,"Unlike older college canteens that were just quick grab-and-go spots, the new layout was engineered as a collaboration hub — a space meant for lingering, working, and connecting, not just refueling.",
Sports Canteen,1,The setup,"Runs as a dedicated cafe inside the Eklavya Sports Complex, operated in partnership with Jimmy Boy.",
Sports Canteen,2,On the menu,"Its menu is dominated by cafe-style comfort items, continental snacks, and quick street bites.",
Aurobindo Canteen,1,Biogas,Its food waste feeds a biogas plant located right behind the canteen.,
Aurobindo Canteen,2,Closing the loop,"The biogas generated isn't in active use yet, but the plan is to close the loop completely: waste from the canteen generates gas, and that same gas gets piped back to fuel the canteen's own cooking.",
Kutchi Haveli,1,Salvaged architecture,"The Haveli was built using ""recycled"" architectural parts salvaged from old buildings in Kutch villages that were being demolished for modern construction, preserving craftsmanship that would otherwise be lost.",
Kutchi Haveli,2,Family roots,"It reflects the Somaiya family's own roots: they're Kutchi Lohanas, and this heritage runs through several campus landmarks.",
Kutchi Haveli,3,A wider initiative,Part of a wider Trust initiative that's also restoring old Kutch homes into village libraries — a project called Somaiya Pustakalaya.,
Saraswati,1,The courtyard,"Built with a central courtyard featuring a Tulsi plant and a water fountain, meant to evoke the sound of a flowing river.",
Saraswati,2,Dariyalal,"On the outside stands a statue of Dariyalal, the Somaiya family's guardian deity as Kutchi Lohanas — also revered as Jhulelal by Sindhis and as Zinda Peer/Lal Shahbaz Qalandar by Sufis.",
Sanskriti Vihara,1,The Peetham,"Connected to the Somaiya Bharatiya Sanskriti Peetham, founded to promote deep study of Vedic religion and interfaith dialogue.",
Sanskriti Vihara,2,Architecture,The building's layout is a modern reinterpretation of ancient Indian baolis (stepwells).,
Basketball Court (Eklavya),1,2026 Championship,"In 2026, it hosted the FISU World University Squash Championship.",
Basketball Court (Eklavya),2,Somaiya on the podium,"Team India (both Somaiya students!) won an individual Gold, an individual Bronze, and a team Silver.",
Table Tennis,1,The arena,"An indoor arena within the sports infrastructure, equipped with professional-grade tables and flooring.",
Table Tennis,2,What it's used for,"Accommodates recreational sessions, training, and tournaments.",
RIIDL,1,What it is,Research Innovation Incubation Design Labs (RIIDL) serves as a technology business incubator supported by DST and DBT-BIRAC.,
RIIDL,2,What you get,"Provides startups with 24/7 access to workspaces, FabLabs, AI/ML labs, and seed funding support.",
BIO RIIDL,1,A first for India,"India's first DIY Bio-Lab and incubator, focused on life sciences, biotechnology, and synthetic biology.",
BIO RIIDL,2,What you get,"Gives student innovators and early-stage bio-entrepreneurs access to specialized wet lab facilities, testing equipment, and bio-incubation grants.",
Nakshatra Garden,1,How it's organized,"Maintained by the project office as part of the Green Campus Initiative, featuring plants arranged according to astrological constellations (Nakshatras).",
Nakshatra Garden,2,Why it matters,The plants carry medicinal and religious significance tied to each Nakshatra.,
Somaiya Statue Area,1,The memorial,"A central landscaped green patch on campus built around the memorial statue of the founder, Karamshi Jethabhai Somaiya.",
Somaiya Statue Area,2,The space,Offers a quiet seating spot under mature shade trees.,
In front of Polytechnic,1,The space,"An open green lawn situated directly outside the K. J. Somaiya Polytechnic building, shaded by native trees.",
In front of Polytechnic,2,What it's used for,A popular student hang-out and event space.,
Botanical Garden,1,Run with the Department of Botany,Managed alongside the Department of Botany.,
Botanical Garden,2,What's here,"Houses a wide collection of plant species, herbs, and flora used for student learning, research, and campus biodiversity conservation.",
Biodiversity Garden,1,The zone,A dedicated ecological zone near the sports facilities and KJSIM.,
Biodiversity Garden,2,The goal,"Created to sustain local flora and fauna, attract birdlife, and serve as a green lung for the campus.",
